time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-12-22T16:39:58.692Z,41.5252,140.4825,10.986,5,mb,53,96,0.856,0.51,us,us6000jb3w,2022-12-24T12:48:30.411Z,"34 km SW of Hakodate, Japan",earthquake,6.82,4.28,0.103,33,reviewed,us,us
2022-12-22T15:50:47.667Z,-26.1619,-177.1583,57.076,4.9,mww,120,51,5.282,0.77,us,us6000jb3k,2022-12-22T17:05:07.040Z,"south of the Fiji Islands",earthquake,10.65,5.4,0.089,12,reviewed,us,us
2022-12-22T13:29:47.090Z,38.7368,56.3438,10,4.5,mb,26,163,9.902,1.05,us,us6000jb2g,2022-12-22T15:34:58.040Z,"27 km SSE of Serdar, Turkmenistan",earthquake,8.51,1.933,0.14,15,reviewed,us,us
2022-12-22T13:13:55.683Z,-8.042,-74.503,156.983,5.5,mww,79,83,1.808,1.14,us,us6000jb2a,2022-12-23T13:16:10.282Z,"",earthquake,8.16,7.001,0.058,29,reviewed,us,us
2022-12-22T11:00:21.908Z,-20.4648,-175.0072,164.445,5,mb,31,150,0.725,1.35,us,us6000jb1r,2022-12-22T11:46:23.040Z,"Tonga",earthquake,11.02,7.237,0.107,28,reviewed,us,us
2022-12-22T08:56:08.888Z,-37.9146,49.4069,10,5.1,mb,38,47,8.702,0.63,us,us6000jb1b,2022-12-22T09:19:48.040Z,"Southwest Indian Ridge",earthquake,12.18,1.828,0.074,59,reviewed,us,us
2022-12-22T06:51:06.954Z,-19.2991,-176.0995,10.726,4.8,mb,14,147,1.731,0.35,us,us6000jb0w,2022-12-22T07:09:25.040Z,"191 km WNW of Pangai, Tonga",earthquake,7.32,5.943,0.196,9,reviewed,us,us
2022-12-22T04:36:29.941Z,22.4117,121.0401,18.24,4.8,mwr,33,100,0.406,0.82,us,us6000jb0d,2022-12-22T09:10:40.475Z,"54 km NE of Hengchun, Taiwan",earthquake,3.82,3.787,0.065,23,reviewed,us,us
2022-12-22T03:20:22.281Z,-5.7439,147.0126,128.076,4.5,mb,20,122,11.171,0.77,us,us6000jb08,2022-12-22T05:01:32.040Z,"",earthquake,11.24,11.468,0.135,16,reviewed,us,us
2022-12-22T02:47:03.510Z,35.5807,99.0247,10,5.1,mb,57,47,10.263,0.49,us,us6000jazu,2022-12-22T03:45:24.040Z,"Southern Qinghai, China",earthquake,8.7,1.853,0.052,121,reviewed,us,us
2022-12-21T21:09:03.751Z,-31.3597,-178.4684,10.96,5,mb,30,81,2.144,0.51,us,us6000jaxi,2022-12-21T21:33:14.040Z,"Kermadec Islands region",earthquake,8.46,3.731,0.101,31,reviewed,us,us
