time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-12-30T21:02:26.819Z,-52.6754,27.8233,10,5.1,mb,34,102,20.911,0.82,us,us7000j14a,2023-01-02T01:05:59.040Z,"south of Africa",earthquake,10.88,1.731,0.106,29,reviewed,us,us
2022-12-30T15:36:00.918Z,19.0129,-102.7603,93.666,4.7,mb,38,177,1.579,0.62,us,us7000j12p,2022-12-31T03:10:23.155Z,"5 km WNW of Bonifacio Moreno (El Aguaje), Mexico",earthquake,12.04,4.602,0.046,142,reviewed,us,us
2022-12-30T15:35:13.701Z,-23.2048,-175.28,10,4.8,mb,26,78,2.027,0.65,us,us7000j12q,2022-12-30T16:23:54.040Z,"210 km S of ‘Ohonua, Tonga",earthquake,9.38,1.853,0.09,38,reviewed,us,us
2022-12-30T12:10:45.063Z,-7.984,128.9291,35,5,mb,58,56,2.347,0.64,us,us7000j11x,2022-12-30T12:30:01.040Z,"Kepulauan Barat Daya, Indonesia",earthquake,7.1,1.925,0.073,60,reviewed,us,us
2022-12-30T09:42:04.853Z,-21.9068,-174.5002,10,5.4,mww,32,112,0.983,0.87,us,us7000j11e,2022-12-31T09:45:24.383Z,"Tonga",earthquake,7.82,1.796,0.089,12,reviewed,us,us
2022-12-30T06:47:50.973Z,0.2406,97.4744,35,4.6,mb,39,222,1.061,0.7,us,us7000j10t,2022-12-30T07:16:01.040Z,"220 km SW of Sibolga, Indonesia",earthquake,9.91,1.972,0.103,32,reviewed,us,us
2022-12-30T05:19:17.103Z,-45.8927,-76.4566,8.947,5.3,mww,43,169,2.199,0.52,us,us7000j10i,2022-12-30T06:43:57.040Z,"287 km W of Puerto Chacabuco, Chile",earthquake,6.71,4.778,0.057,30,reviewed,us,us
2022-12-30T04:57:20.467Z,60.6954,-44.0119,10,4.6,mb,57,69,0.83,0.61,us,us7000j103,2022-12-30T05:16:57.040Z,"western Greenland",earthquake,5.63,1.892,0.046,141,reviewed,us,us
2022-12-30T04:33:52.297Z,-7.1275,102.7874,10,5,mb,36,96,4.609,0.79,us,us7000j0zy,2022-12-30T04:52:16.040Z,"southwest of Sumatra, Indonesia",earthquake,7.37,1.639,0.107,31,reviewed,us,us
2022-12-30T04:16:56.053Z,-0.2131,97.3105,10,5,mb,52,136,1.53,0.75,us,us7000j0zu,2022-12-30T04:34:01.040Z,"271 km SW of Sibolga, Indonesia",earthquake,4.67,1.894,0.079,52,reviewed,us,us
2022-12-30T01:49:18.893Z,-27.6283,-70.136,92.463,4.5,mwr,36,56,0.094,0.99,us,us7000j0zf,2022-12-30T02:07:54.040Z,"34 km SSE of Copiapó, Chile",earthquake,5.85,4.155,,,reviewed,us,guc
2022-12-29T23:26:47.644Z,-0.1988,97.3494,10,5.3,mb,90,57,1.51,0.63,us,us7000j0y6,2022-12-29T23:59:40.040Z,"",earthquake,7.37,1.799,0.051,127,reviewed,us,us
2022-12-29T16:52:35.887Z,2.0774,127.1274,104.371,4.9,mb,118,80,1.319,0.98,us,us7000j0va,2022-12-30T23:07:28.040Z,"",earthquake,2.33,6.642,0.055,113,reviewed,us,us
2022-12-29T16:51:34.644Z,-18.8601,169.3023,250.485,4.8,mb,41,79,4.118,0.64,us,us7000j0v9,2022-12-29T17:08:18.040Z,"Vanuatu",earthquake,10.51,7.909,0.07,64,reviewed,us,us
2022-12-29T15:11:00.632Z,39.3548,15.2398,14.448,4.5,mb,72,83,0.778,0.78,us,us7000j0up,2022-12-31T15:30:33.040Z,"59 km WSW of Cittadella del Capo, Italy",earthquake,4.75,4.366,0.099,32,reviewed,us,us
2022-12-29T13:35:53.462Z,-3.0236,127.7742,43.825,4.5,mb,14,94,3.792,0.37,us,us7000j0ub,2022-12-29T15:05:11.040Z,"87 km NNW of Ambon, Indonesia",earthquake,9.96,11.173,0.204,8,reviewed,us,us
2022-12-29T13:13:37.458Z,6.2678,126.1549,140.555,5.2,mww,98,102,0.981,0.91,us,us7000j0u9,2022-12-30T07:53:13.593Z,"10 km SSW of Pondaguitan, Philippines",earthquake,8.33,2.629,0.071,19,reviewed,us,us
2022-12-29T11:22:54.063Z,11.6754,141.0076,10,4.5,mb,32,111,4.221,0.49,us,us7000j0tq,2022-12-29T12:25:45.040Z,"217 km NNE of Fais, Micronesia",earthquake,5.7,1.892,0.115,22,reviewed,us,us
2022-12-29T08:07:52.166Z,-7.1663,122.4568,9.978,4.5,mb,35,106,1.476,0.64,us,us7000j0sv,2022-12-29T09:08:57.040Z,"163 km N of Maumere, Indonesia",earthquake,6.21,3.491,0.135,18,reviewed,us,us
2022-12-29T06:10:51.440Z,-23.5885,-176.2934,133.175,5.2,mb,48,118,2.61,0.55,us,us7000j0sk,2022-12-29T06:30:20.040Z,"285 km SSW of ‘Ohonua, Tonga",earthquake,7.54,8.539,0.084,49,reviewed,us,us
2022-12-29T00:37:09.323Z,-18.7589,-177.5466,623.671,4.7,mb,47,59,3.257,0.91,us,us7000j0r7,2022-12-29T00:55:15.040Z,"Fiji region",earthquake,14.58,11.037,0.086,41,reviewed,us,us
2022-12-29T00:36:03.737Z,29.2181,130.6532,36.652,4.9,mb,66,78,2.29,1.17,us,us7000j0r5,2022-12-29T00:48:38.040Z,"Ryukyu Islands, Japan",earthquake,6.59,7.691,0.093,36,reviewed,us,us
2022-12-28T21:11:04.134Z,-16.6227,-72.4063,73.583,5.3,mww,102,125,2.627,1.23,us,us7000j0ps,2022-12-29T02:41:20.484Z,"10 km NNE of Quilca, Peru",earthquake,8.12,5.829,0.052,35,reviewed,us,us
2022-12-28T20:38:09.152Z,-30.6459,-71.2959,57.383,4.8,mb,34,79,0.294,1.12,us,us7000j0pf,2022-12-28T20:50:49.040Z,"10 km WSW of Ovalle, Chile",earthquake,6.16,6.828,0.154,13,reviewed,us,us
2022-12-28T19:17:50.015Z,41.8345,79.603,10,4.5,mb,43,67,1.115,1.12,us,us7000j0nu,2022-12-28T21:19:11.040Z,"",earthquake,6.33,1.886,0.115,22,reviewed,us,us
2022-12-28T18:12:50.205Z,-18.4155,-177.5904,585.81,4.6,mb,35,63,3.414,0.65,us,us7000j0nq,2022-12-28T19:04:28.040Z,"Fiji region",earthquake,13.41,11.199,0.109,25,reviewed,us,us
